"Please select “Yes” if you want to use a product price for a particular customer group instead of all customers.","Please select “Yes” if you want to use a product price for a particular customer group instead of all customers."
"Please select a customer group for which the product price should be taken from","Please select a customer group for which the product price should be taken from"
"Set the quantity associated with a customer group price that should be taken during product synchronization.","Set the quantity associated with a customer group price that should be taken during product synchronization."
"Please select the price attribute in Magento that should be used during the product synchronization.","Please select the price attribute in Magento that should be used during the product synchronization."
"Please select which inventories should be used during the product synchronization. The extension will use the sum of the available items in selected sources as the amount for sync.","Please select which inventories should be used during the product synchronization. The extension will use the sum of the available items in selected sources as the amount for sync."
"Please select the default stock associated with the selected inventories.","Please select the default stock associated with the selected inventories."
"Please select the Magento attribute that you want to map to shipping cost attribute in ChannelEngine.","Please select the Magento attribute that you want to map to shipping cost attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to MSRP attribute in ChannelEngine.","Please select the Magento attribute that you want to map to MSRP attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to purchase price attribute in ChannelEngine.","Please select the Magento attribute that you want to map to purchase price attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to shipping time attribute in ChannelEngine.","Please select the Magento attribute that you want to map to shipping time attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to brand attribute in ChannelEngine.","Please select the Magento attribute that you want to map to brand attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to color attribute in ChannelEngine.","Please select the Magento attribute that you want to map to color attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to size attribute in ChannelEngine.","Please select the Magento attribute that you want to map to size attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to EAN attribute in ChannelEngine.","Please select the Magento attribute that you want to map to EAN attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to merchant product number attribute in ChannelEngine.","Please select the Magento attribute that you want to map to merchant product number attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to name attribute in ChannelEngine.","Please select the Magento attribute that you want to map to name attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to description attribute in ChannelEngine.","Please select the Magento attribute that you want to map to description attribute in ChannelEngine."
"Please select the Magento attribute that you want to map to category attribute in ChannelEngine.","Please select the Magento attribute that you want to map to category attribute in ChannelEngine."
"Please select how you want to handle unknown order lines in orders imported from ChannelEngine.","Please select how you want to handle unknown order lines in orders imported from ChannelEngine."
"Please select whether you want to import ChannelEngine orders fulfilled by marketplace or not.","Please select whether you want to import ChannelEngine orders fulfilled by marketplace or not."
"Please select the default item condition that will be used when importing a return request from ChannelEngine.","Please select the default item condition that will be used when importing a return request from ChannelEngine."
"Please select the default item resolution that will be used when importing a return request from ChannelEngine.","Please select the default item resolution that will be used when importing a return request from ChannelEngine."
"Not mapped","Not mapped"
"Name","Name"
"Description","Description"
"Category","Category"
"Merchant product number","Merchant product number"
"SKU","SKU"
"ID","ID"
"SKU might not be a required field in product attribute configuration. In order for product synchronization to work properly, the ChannelEngine module requires SKU to be the required product attribute. Mapping to Merchant product number cannot be changed later.","SKU might not be a required field in product attribute configuration. In order for product synchronization to work properly, the ChannelEngine module requires SKU to be the required product attribute. Mapping to Merchant product number cannot be changed later."
"Synchronize returns","Synchronize returns"
"When this option is disabled, the integration should not create or update shipment information for orders.","When this option is disabled, the integration should not create or update shipment information for orders."
"If this option is disabled when a cancellation order occurs, the integration doesn't need to sync this information to the ChannelEngine.","If this option is disabled when a cancellation order occurs, the integration doesn't need to sync this information to the ChannelEngine."
"If this option is disabled when a return order occurs, the integration doesn't need to sync this information to the ChannelEngine.","If this option is disabled when a return order occurs, the integration doesn't need to sync this information to the ChannelEngine."
"Enter CE field name","Enter CE field name"
"Orders fulfilled by the marketplace are imported starting from","Orders fulfilled by the marketplace are imported starting from"
"Before proceeding with the onboarding process, please contact ChannelEngine support.","Before proceeding with the onboarding process, please contact ChannelEngine support."
"Export products","Export products"
"If this field is disabled, the plugin will not synchronize products to ChannelEngine.","If this field is disabled, the plugin will not synchronize products to ChannelEngine."
